# Motion State      
# Angle Units       : radians
# Time              	centreOfRotation	centreOfMass	rotation	velocity	omega
4.21333             	(8.254133026219e-02 0.000000000000e+00 -4.936810962227e-02)	(8.254133026219e-02 0.000000000000e+00 -4.936810962227e-02)	(0.000000000000e+00 9.880871498739e-03 0.000000000000e+00)	(-2.315682532807e-01 0.000000000000e+00 -1.178078421201e-01)	(0.000000000000e+00 -9.235626062671e-02 0.000000000000e+00)
4.22                	(8.098382575646e-02 0.000000000000e+00 -5.014693146435e-02)	(8.098382575646e-02 0.000000000000e+00 -5.014693146435e-02)	(0.000000000000e+00 9.243464720697e-03 0.000000000000e+00)	(-2.356872174030e-01 0.000000000000e+00 -1.158367394004e-01)	(0.000000000000e+00 -9.887228881432e-02 0.000000000000e+00)
4.22667             	(7.939909881867e-02 0.000000000000e+00 -5.091250026027e-02)	(7.939909881867e-02 0.000000000000e+00 -5.091250026027e-02)	(0.000000000000e+00 8.563068967230e-03 0.000000000000e+00)	(-2.397349116283e-01 0.000000000000e+00 -1.138318945329e-01)	(0.000000000000e+00 -1.052528177548e-01 0.000000000000e+00)
4.23333             	(7.778765143179e-02 0.000000000000e+00 -5.166458974509e-02)	(7.778765143179e-02 0.000000000000e+00 -5.166458974509e-02)	(0.000000000000e+00 7.841579111347e-03 0.000000000000e+00)	(-2.437032727957e-01 0.000000000000e+00 -1.117929119284e-01)	(0.000000000000e+00 -1.112000862787e-01 0.000000000000e+00)
4.24                	(7.614995211956e-02 0.000000000000e+00 -5.240301415852e-02)	(7.614995211956e-02 0.000000000000e+00 -5.240301415852e-02)	(0.000000000000e+00 7.082388663052e-03 0.000000000000e+00)	(-2.476104280281e-01 0.000000000000e+00 -1.097323515430e-01)	(0.000000000000e+00 -1.165624105340e-01 0.000000000000e+00)
4.24667             	(7.448651171583e-02 0.000000000000e+00 -5.312755090687e-02)	(7.448651171583e-02 0.000000000000e+00 -5.312755090687e-02)	(0.000000000000e+00 6.288997433377e-03 0.000000000000e+00)	(-2.514255081728e-01 0.000000000000e+00 -1.076265671777e-01)	(0.000000000000e+00 -1.214598558140e-01 0.000000000000e+00)
4.25333             	(7.279796836562e-02 0.000000000000e+00 -5.383788040737e-02)	(7.279796836562e-02 0.000000000000e+00 -5.383788040737e-02)	(0.000000000000e+00 5.463935574468e-03 0.000000000000e+00)	(-2.551412125926e-01 0.000000000000e+00 -1.054701265317e-01)	(0.000000000000e+00 -1.260633053084e-01 0.000000000000e+00)
4.26                	(7.108497152952e-02 0.000000000000e+00 -5.453391796066e-02)	(7.108497152952e-02 0.000000000000e+00 -5.453391796066e-02)	(0.000000000000e+00 4.612244594924e-03 0.000000000000e+00)	(-2.587614584855e-01 0.000000000000e+00 -1.033390083366e-01)	(0.000000000000e+00 -1.294473726222e-01 0.000000000000e+00)
4.26667             	(6.934819046558e-02 0.000000000000e+00 -5.521564944831e-02)	(6.934819046558e-02 0.000000000000e+00 -5.521564944831e-02)	(0.000000000000e+00 3.738877414399e-03 0.000000000000e+00)	(-2.622763756114e-01 0.000000000000e+00 -1.011782772261e-01)	(0.000000000000e+00 -1.325659000628e-01 0.000000000000e+00)
4.27333             	(6.758827352152e-02 0.000000000000e+00 -5.588287686306e-02)	(6.758827352152e-02 0.000000000000e+00 -5.588287686306e-02)	(0.000000000000e+00 2.844885330289e-03 0.000000000000e+00)	(-2.657021333653e-01 0.000000000000e+00 -9.898775667737e-02)	(0.000000000000e+00 -1.356347940645e-01 0.000000000000e+00)
4.28                	(6.580584761209e-02 0.000000000000e+00 -5.653540403142e-02)	(6.580584761209e-02 0.000000000000e+00 -5.653540403142e-02)	(0.000000000000e+00 1.930307027891e-03 0.000000000000e+00)	(-2.690289662979e-01 0.000000000000e+00 -9.676817424823e-02)	(0.000000000000e+00 -1.387418036644e-01 0.000000000000e+00)
4.28667             	(6.400146619693e-02 0.000000000000e+00 -5.717305410319e-02)	(6.400146619693e-02 0.000000000000e+00 -5.717305410319e-02)	(0.000000000000e+00 9.947268875412e-04 0.000000000000e+00)	(-2.722887179996e-01 0.000000000000e+00 -9.452460371400e-02)	(0.000000000000e+00 -1.419354320691e-01 0.000000000000e+00)
4.29333             	(6.217552984018e-02 0.000000000000e+00 -5.779565202975e-02)	(6.217552984018e-02 0.000000000000e+00 -5.779565202975e-02)	(0.000000000000e+00 3.751815319278e-05 0.000000000000e+00)	(-2.754953957034e-01 0.000000000000e+00 -9.225250215087e-02)	(0.000000000000e+00 -1.452304832867e-01 0.000000000000e+00)
4.3                 	(6.032846522290e-02 0.000000000000e+00 -5.840300021762e-02)	(6.032846522290e-02 0.000000000000e+00 -5.840300021762e-02)	(0.000000000000e+00 -9.417650656629e-04 0.000000000000e+00)	(-2.786271212078e-01 0.000000000000e+00 -8.994965135999e-02)	(0.000000000000e+00 -1.485578096965e-01 0.000000000000e+00)
4.30769             	(5.817165737033e-02 0.000000000000e+00 -5.908455169662e-02)	(5.817165737033e-02 0.000000000000e+00 -5.908455169662e-02)	(0.000000000000e+00 -2.099189922040e-03 0.000000000000e+00)	(-2.821464397785e-01 0.000000000000e+00 -8.725103456380e-02)	(0.000000000000e+00 -1.523764716235e-01 0.000000000000e+00)
4.31608             	(5.578844081560e-02 0.000000000000e+00 -5.980419485256e-02)	(5.578844081560e-02 0.000000000000e+00 -5.980419485256e-02)	(0.000000000000e+00 -3.395331592544e-03 0.000000000000e+00)	(-2.858572165432e-01 0.000000000000e+00 -8.426092749528e-02)	(0.000000000000e+00 -1.565414581667e-01 0.000000000000e+00)
4.32371             	(5.359539522339e-02 0.000000000000e+00 -6.043646423472e-02)	(5.359539522339e-02 0.000000000000e+00 -6.043646423472e-02)	(0.000000000000e+00 -4.603252553883e-03 0.000000000000e+00)	(-2.890894684649e-01 0.000000000000e+00 -8.149626419793e-02)	(0.000000000000e+00 -1.601387511575e-01 0.000000000000e+00)
4.33134             	(5.137829193526e-02 0.000000000000e+00 -6.104747694704e-02)	(5.137829193526e-02 0.000000000000e+00 -6.104747694704e-02)	(0.000000000000e+00 -5.836392174813e-03 0.000000000000e+00)	(-2.921641849560e-01 0.000000000000e+00 -7.868809371027e-02)	(0.000000000000e+00 -1.631523664116e-01 0.000000000000e+00)
4.33821             	(4.936343205598e-02 0.000000000000e+00 -6.157895367913e-02)	(4.936343205598e-02 0.000000000000e+00 -6.157895367913e-02)	(0.000000000000e+00 -6.963785785902e-03 0.000000000000e+00)	(-2.947596308797e-01 0.000000000000e+00 -7.612654837043e-02)	(0.000000000000e+00 -1.652553199204e-01 0.000000000000e+00)
4.34507             	(4.733115627808e-02 0.000000000000e+00 -6.209275634622e-02)	(4.733115627808e-02 0.000000000000e+00 -6.209275634622e-02)	(0.000000000000e+00 -8.103544058383e-03 0.000000000000e+00)	(-2.972372538997e-01 0.000000000000e+00 -7.353967871024e-02)	(0.000000000000e+00 -1.667535417483e-01 0.000000000000e+00)
4.35194             	(4.528235796199e-02 0.000000000000e+00 -6.258872594982e-02)	(4.528235796199e-02 0.000000000000e+00 -6.258872594982e-02)	(0.000000000000e+00 -9.251393277324e-03 0.000000000000e+00)	(-2.995724426234e-01 0.000000000000e+00 -7.093182203760e-02)	(0.000000000000e+00 -1.676115424367e-01 0.000000000000e+00)
4.35995             	(4.287247051054e-02 0.000000000000e+00 -6.314464125119e-02)	(4.287247051054e-02 0.000000000000e+00 -6.314464125119e-02)	(0.000000000000e+00 -1.059519628332e-02 0.000000000000e+00)	(-3.021369411021e-01 0.000000000000e+00 -6.786745789145e-02)	(0.000000000000e+00 -1.679129062979e-01 0.000000000000e+00)
4.36796             	(4.044284200946e-02 0.000000000000e+00 -6.367597419486e-02)	(4.044284200946e-02 0.000000000000e+00 -6.367597419486e-02)	(0.000000000000e+00 -1.193885480108e-02 0.000000000000e+00)	(-3.045012378300e-01 0.000000000000e+00 -6.479402747056e-02)	(0.000000000000e+00 -1.675748268026e-01 0.000000000000e+00)
4.37597             	(3.799508824674e-02 0.000000000000e+00 -6.418264218523e-02)	(3.799508824674e-02 0.000000000000e+00 -6.418264218523e-02)	(0.000000000000e+00 -1.327678537138e-02 0.000000000000e+00)	(-3.066622992258e-01 0.000000000000e+00 -6.170903815245e-02)	(0.000000000000e+00 -1.664819830664e-01 0.000000000000e+00)
4.38398             	(3.553064811385e-02 0.000000000000e+00 -6.466456410705e-02)	(3.553064811385e-02 0.000000000000e+00 -6.466456410705e-02)	(0.000000000000e+00 -1.460302990155e-02 0.000000000000e+00)	(-3.086673771266e-01 0.000000000000e+00 -5.861535753539e-02)	(0.000000000000e+00 -1.646562937774e-01 0.000000000000e+00)
4.39199             	(3.305078765584e-02 0.000000000000e+00 -6.512166190295e-02)	(3.305078765584e-02 0.000000000000e+00 -6.512166190295e-02)	(0.000000000000e+00 -1.591269759483e-02 0.000000000000e+00)	(-3.105123250344e-01 0.000000000000e+00 -5.551087654734e-02)	(0.000000000000e+00 -1.623425482747e-01 0.000000000000e+00)
4.4                 	(3.055675688665e-02 0.000000000000e+00 -6.555374342025e-02)	(3.055675688665e-02 0.000000000000e+00 -6.555374342025e-02)	(0.000000000000e+00 -1.720413397987e-02 0.000000000000e+00)	(-3.122053044436e-01 0.000000000000e+00 -5.236919235931e-02)	(0.000000000000e+00 -1.601043299619e-01 0.000000000000e+00)
4.40909             	(2.771046274467e-02 0.000000000000e+00 -6.601340174865e-02)	(2.771046274467e-02 0.000000000000e+00 -6.601340174865e-02)	(0.000000000000e+00 -1.865073795575e-02 0.000000000000e+00)	(-3.139811826698e-01 0.000000000000e+00 -4.875202271728e-02)	(0.000000000000e+00 -1.581465869887e-01 0.000000000000e+00)
4.41818             	(2.484896051951e-02 0.000000000000e+00 -6.644003986195e-02)	(2.484896051951e-02 0.000000000000e+00 -6.644003986195e-02)	(0.000000000000e+00 -2.008139705443e-02 0.000000000000e+00)	(-3.155508765599e-01 0.000000000000e+00 -4.510471490173e-02)	(0.000000000000e+00 -1.565968649992e-01 0.000000000000e+00)
4.42727             	(2.197444164571e-02 0.000000000000e+00 -6.683346369177e-02)	(2.197444164571e-02 0.000000000000e+00 -6.683346369177e-02)	(0.000000000000e+00 -2.149492045154e-02 0.000000000000e+00)	(-3.168445693690e-01 0.000000000000e+00 -4.144486781241e-02)	(0.000000000000e+00 -1.543760615617e-01 0.000000000000e+00)
4.43636             	(1.908925033185e-02 0.000000000000e+00 -6.719367853192e-02)	(1.908925033185e-02 0.000000000000e+00 -6.719367853192e-02)	(0.000000000000e+00 -2.288398663830e-02 0.000000000000e+00)	(-3.178985736848e-01 0.000000000000e+00 -3.779875090232e-02)	(0.000000000000e+00 -1.512153388021e-01 0.000000000000e+00)
4.44545             	(1.619562165008e-02 0.000000000000e+00 -6.752073124584e-02)	(1.619562165008e-02 0.000000000000e+00 -6.752073124584e-02)	(0.000000000000e+00 -2.424027625072e-02 0.000000000000e+00)	(-3.187005382681e-01 0.000000000000e+00 -3.414919660699e-02)	(0.000000000000e+00 -1.471643249179e-01 0.000000000000e+00)
4.45455             	(1.329566261424e-02 0.000000000000e+00 -6.781479574514e-02)	(1.329566261424e-02 0.000000000000e+00 -6.781479574514e-02)	(0.000000000000e+00 -2.555931892470e-02 0.000000000000e+00)	(-3.192910401194e-01 0.000000000000e+00 -3.054138542794e-02)	(0.000000000000e+00 -1.430209199535e-01 0.000000000000e+00)
4.46212             	(1.087572801229e-02 0.000000000000e+00 -6.803482512568e-02)	(1.087572801229e-02 0.000000000000e+00 -6.803482512568e-02)	(0.000000000000e+00 -2.662759378966e-02 0.000000000000e+00)	(-3.195719757311e-01 0.000000000000e+00 -2.754337302029e-02)	(0.000000000000e+00 -1.389996230978e-01 0.000000000000e+00)
4.4697              	(8.454364836073e-03 0.000000000000e+00 -6.823202884753e-02)	(8.454364836073e-03 0.000000000000e+00 -6.823202884753e-02)	(0.000000000000e+00 -2.766301237418e-02 0.000000000000e+00)	(-3.196679988123e-01 0.000000000000e+00 -2.451538155695e-02)	(0.000000000000e+00 -1.343462298237e-01 0.000000000000e+00)
4.47727             	(6.032891928695e-03 0.000000000000e+00 -6.840625572194e-02)	(6.032891928695e-03 0.000000000000e+00 -6.840625572194e-02)	(0.000000000000e+00 -2.866307977765e-02 0.000000000000e+00)	(-3.196007815184e-01 0.000000000000e+00 -2.147747538206e-02)	(0.000000000000e+00 -1.296668853471e-01 0.000000000000e+00)
4.48485             	(3.612697085502e-03 0.000000000000e+00 -6.855725179171e-02)	(3.612697085502e-03 0.000000000000e+00 -6.855725179171e-02)	(0.000000000000e+00 -2.962522355109e-02 0.000000000000e+00)	(-3.193303866895e-01 0.000000000000e+00 -1.838239195370e-02)	(0.000000000000e+00 -1.243337376945e-01 0.000000000000e+00)
4.49242             	(1.195277478497e-03 0.000000000000e+00 -6.868476307957e-02)	(1.195277478497e-03 0.000000000000e+00 -6.868476307957e-02)	(0.000000000000e+00 -3.054545335991e-02 0.000000000000e+00)	(-3.188679271004e-01 0.000000000000e+00 -1.527748313259e-02)	(0.000000000000e+00 -1.186011992939e-01 0.000000000000e+00)
4.5                 	(-1.218047112193e-03 0.000000000000e+00 -6.878888813435e-02)	(-1.218047112193e-03 0.000000000000e+00 -6.878888813435e-02)	(0.000000000000e+00 -3.142352657984e-02 0.000000000000e+00)	(-3.182491460607e-01 0.000000000000e+00 -1.220846230873e-02)	(0.000000000000e+00 -1.132047343041e-01 0.000000000000e+00)
4.50714             	(-3.488507817742e-03 0.000000000000e+00 -6.886582190764e-02)	(-3.488507817742e-03 0.000000000000e+00 -6.886582190764e-02)	(0.000000000000e+00 -3.221120700905e-02 0.000000000000e+00)	(-3.174790814284e-01 0.000000000000e+00 -9.330115865294e-03)	(0.000000000000e+00 -1.073399210604e-01 0.000000000000e+00)
4.51429             	(-5.752866237809e-03 0.000000000000e+00 -6.892224795054e-02)	(-5.752866237809e-03 0.000000000000e+00 -6.892224795054e-02)	(0.000000000000e+00 -3.295402188675e-02 0.000000000000e+00)	(-3.165403374463e-01 0.000000000000e+00 -6.466312343249e-03)	(0.000000000000e+00 -1.006415463223e-01 0.000000000000e+00)
4.52208             	(-8.214856566258e-03 0.000000000000e+00 -6.896064460489e-02)	(-8.214856566258e-03 0.000000000000e+00 -6.896064460489e-02)	(0.000000000000e+00 -3.370887339995e-02 0.000000000000e+00)	(-3.153693425274e-01 0.000000000000e+00 -3.385748374874e-03)	(0.000000000000e+00 -9.309612998277e-02 0.000000000000e+00)
4.53074             	(-1.093903867040e-02 0.000000000000e+00 -6.897512161570e-02)	(-1.093903867040e-02 0.000000000000e+00 -6.897512161570e-02)	(0.000000000000e+00 -3.448320589952e-02 0.000000000000e+00)	(-3.139152694556e-01 0.000000000000e+00 4.498961550857e-05)	(0.000000000000e+00 -8.576734863674e-02 0.000000000000e+00)
4.53766             	(-1.310882402250e-02 0.000000000000e+00 -6.896525811536e-02)	(-1.310882402250e-02 0.000000000000e+00 -6.896525811536e-02)	(0.000000000000e+00 -3.505935968205e-02 0.000000000000e+00)	(-3.126089446405e-01 0.000000000000e+00 2.805856974043e-03)	(0.000000000000e+00 -8.059188059944e-02 0.000000000000e+00)
4.54545             	(-1.553871052024e-02 0.000000000000e+00 -6.893099410074e-02)	(-1.553871052024e-02 0.000000000000e+00 -6.893099410074e-02)	(0.000000000000e+00 -3.566345618367e-02 0.000000000000e+00)	(-3.110603745419e-01 0.000000000000e+00 5.991759348617e-03)	(0.000000000000e+00 -7.445341635317e-02 0.000000000000e+00)
4.55325             	(-1.795600824684e-02 0.000000000000e+00 -6.887211885417e-02)	(-1.795600824684e-02 0.000000000000e+00 -6.887211885417e-02)	(0.000000000000e+00 -3.622348193094e-02 0.000000000000e+00)	(-3.093776926022e-01 0.000000000000e+00 9.122684862133e-03)	(0.000000000000e+00 -6.928135338197e-02 0.000000000000e+00)
4.56104             	(-2.035977377821e-02 0.000000000000e+00 -6.878897095029e-02)	(-2.035977377821e-02 0.000000000000e+00 -6.878897095029e-02)	(0.000000000000e+00 -3.674662146453e-02 0.000000000000e+00)	(-3.075870030946e-01 0.000000000000e+00 1.222170949124e-02)	(0.000000000000e+00 -6.498683238642e-02 0.000000000000e+00)
4.56753             	(-2.235178526650e-02 0.000000000000e+00 -6.870116794986e-02)	(-2.235178526650e-02 0.000000000000e+00 -6.870116794986e-02)	(0.000000000000e+00 -3.715440711983e-02 0.000000000000e+00)	(-3.059508991957e-01 0.000000000000e+00 1.482421715059e-02)	(0.000000000000e+00 -6.060676938270e-02 0.000000000000e+00)
4.57403             	(-2.433301187256e-02 0.000000000000e+00 -6.859640825405e-02)	(-2.433301187256e-02 0.000000000000e+00 -6.859640825405e-02)	(0.000000000000e+00 -3.753189711555e-02 0.000000000000e+00)	(-3.042652097791e-01 0.000000000000e+00 1.744438932965e-02)	(0.000000000000e+00 -5.565519772811e-02 0.000000000000e+00)
4.58052             	(-2.630304162746e-02 0.000000000000e+00 -6.847469653035e-02)	(-2.630304162746e-02 0.000000000000e+00 -6.847469653035e-02)	(0.000000000000e+00 -3.787926277497e-02 0.000000000000e+00)	(-3.025021917130e-01 0.000000000000e+00 2.004542260409e-02)	(0.000000000000e+00 -5.132909927405e-02 0.000000000000e+00)
4.58701             	(-2.826138002250e-02 0.000000000000e+00 -6.833610428056e-02)	(-2.826138002250e-02 0.000000000000e+00 -6.833610428056e-02)	(0.000000000000e+00 -3.820022212457e-02 0.000000000000e+00)	(-3.006641959624e-01 0.000000000000e+00 2.264358849547e-02)	(0.000000000000e+00 -4.752257387805e-02 0.000000000000e+00)
4.59351             	(-3.020751622274e-02 0.000000000000e+00 -6.818065771948e-02)	(-3.020751622274e-02 0.000000000000e+00 -6.818065771948e-02)	(0.000000000000e+00 -3.849671049083e-02 0.000000000000e+00)	(-2.987438333494e-01 0.000000000000e+00 2.523654527595e-02)	(0.000000000000e+00 -4.379211246602e-02 0.000000000000e+00)
4.6                 	(-3.214078945009e-02 0.000000000000e+00 -6.800832975891e-02)	(-3.214078945009e-02 0.000000000000e+00 -6.800832975891e-02)	(0.000000000000e+00 -3.876700008981e-02 0.000000000000e+00)	(-2.967022791197e-01 0.000000000000e+00 2.784307310646e-02)	(0.000000000000e+00 -3.945274465478e-02 0.000000000000e+00)
4.60588             	(-3.388037584717e-02 0.000000000000e+00 -6.783754604489e-02)	(-3.388037584717e-02 0.000000000000e+00 -6.783754604489e-02)	(0.000000000000e+00 -3.898531966670e-02 0.000000000000e+00)	(-2.947551487588e-01 0.000000000000e+00 3.022577235797e-02)	(0.000000000000e+00 -3.477122997098e-02 0.000000000000e+00)
4.61261             	(-3.585403603939e-02 0.000000000000e+00 -6.762509788027e-02)	(-3.585403603939e-02 0.000000000000e+00 -6.762509788027e-02)	(0.000000000000e+00 -3.919812960316e-02 0.000000000000e+00)	(-2.924064096877e-01 0.000000000000e+00 3.298031115693e-02)	(0.000000000000e+00 -2.853348838458e-02 0.000000000000e+00)
4.61885             	(-3.767229130272e-02 0.000000000000e+00 -6.741116784996e-02)	(-3.767229130272e-02 0.000000000000e+00 -6.741116784996e-02)	(0.000000000000e+00 -3.935813123452e-02 0.000000000000e+00)	(-2.901323294460e-01 0.000000000000e+00 3.556216117203e-02)	(0.000000000000e+00 -2.272276201268e-02 0.000000000000e+00)
4.62561             	(-3.962592337374e-02 0.000000000000e+00 -6.716116001483e-02)	(-3.962592337374e-02 0.000000000000e+00 -6.716116001483e-02)	(0.000000000000e+00 -3.949282070707e-02 0.000000000000e+00)	(-2.876316249344e-01 0.000000000000e+00 3.837788295286e-02)	(0.000000000000e+00 -1.710463665532e-02 0.000000000000e+00)
4.63237             	(-4.156249840876e-02 0.000000000000e+00 -6.689213143474e-02)	(-4.156249840876e-02 0.000000000000e+00 -6.689213143474e-02)	(0.000000000000e+00 -3.959134265870e-02 0.000000000000e+00)	(-2.850878446004e-01 0.000000000000e+00 4.118734326804e-02)	(0.000000000000e+00 -1.202713283870e-02 0.000000000000e+00)
4.63914             	(-4.348162928721e-02 0.000000000000e+00 -6.660413203415e-02)	(-4.348162928721e-02 0.000000000000e+00 -6.660413203415e-02)	(0.000000000000e+00 -3.965534998031e-02 0.000000000000e+00)	(-2.824726248258e-01 0.000000000000e+00 4.398829816993e-02)	(0.000000000000e+00 -6.897239835814e-03 0.000000000000e+00)
4.6459              	(-4.538279034884e-02 0.000000000000e+00 -6.629719522521e-02)	(-4.538279034884e-02 0.000000000000e+00 -6.629719522521e-02)	(0.000000000000e+00 -3.968364404319e-02 0.000000000000e+00)	(-2.797733733213e-01 0.000000000000e+00 4.678788431943e-02)	(0.000000000000e+00 -1.465004038836e-03 0.000000000000e+00)
4.65266             	(-4.726553295016e-02 0.000000000000e+00 -6.597126529603e-02)	(-4.726553295016e-02 0.000000000000e+00 -6.597126529603e-02)	(0.000000000000e+00 -3.967528339692e-02 0.000000000000e+00)	(-2.770255072977e-01 0.000000000000e+00 4.960533467140e-02)	(0.000000000000e+00 3.942986587355e-03 0.000000000000e+00)
4.65942             	(-4.912973604098e-02 0.000000000000e+00 -6.562619453262e-02)	(-4.912973604098e-02 0.000000000000e+00 -6.562619453262e-02)	(0.000000000000e+00 -3.963227963858e-02 0.000000000000e+00)	(-2.742905179450e-01 0.000000000000e+00 5.244861367098e-02)	(0.000000000000e+00 8.779766416224e-03 0.000000000000e+00)
4.66619             	(-5.097554665857e-02 0.000000000000e+00 -6.526182529115e-02)	(-5.097554665857e-02 0.000000000000e+00 -6.526182529115e-02)	(0.000000000000e+00 -3.955863672782e-02 0.000000000000e+00)	(-2.715861544186e-01 0.000000000000e+00 5.531268050351e-02)	(0.000000000000e+00 1.300358568566e-02 0.000000000000e+00)
4.67295             	(-5.280305980938e-02 0.000000000000e+00 -6.487807653394e-02)	(-5.280305980938e-02 0.000000000000e+00 -6.487807653394e-02)	(0.000000000000e+00 -3.945705718789e-02 0.000000000000e+00)	(-2.688792290545e-01 0.000000000000e+00 5.817990794190e-02)	(0.000000000000e+00 1.704154935283e-02 0.000000000000e+00)
4.67971             	(-5.461210522261e-02 0.000000000000e+00 -6.447492379240e-02)	(-5.461210522261e-02 0.000000000000e+00 -6.447492379240e-02)	(0.000000000000e+00 -3.932775956804e-02 0.000000000000e+00)	(-2.661244644255e-01 0.000000000000e+00 6.105121201257e-02)	(0.000000000000e+00 2.120104233204e-02 0.000000000000e+00)
4.68647             	(-5.640230934829e-02 0.000000000000e+00 -6.405226553076e-02)	(-5.640230934829e-02 0.000000000000e+00 -6.405226553076e-02)	(0.000000000000e+00 -3.917063310178e-02 0.000000000000e+00)	(-2.633070507153e-01 0.000000000000e+00 6.394848950766e-02)	(0.000000000000e+00 2.527155352523e-02 0.000000000000e+00)
4.69324             	(-5.817337319317e-02 0.000000000000e+00 -6.360990934977e-02)	(-5.817337319317e-02 0.000000000000e+00 -6.360990934977e-02)	(0.000000000000e+00 -3.898697068547e-02 0.000000000000e+00)	(-2.604638988362e-01 0.000000000000e+00 6.687669861733e-02)	(0.000000000000e+00 2.904848119587e-02 0.000000000000e+00)
4.7                 	(-5.992498179308e-02 0.000000000000e+00 -6.314751620046e-02)	(-5.992498179308e-02 0.000000000000e+00 -6.314751620046e-02)	(0.000000000000e+00 -3.877892876223e-02 0.000000000000e+00)	(-2.575532960270e-01 0.000000000000e+00 6.987428478105e-02)	(0.000000000000e+00 3.248119603657e-02 0.000000000000e+00)
4.70588             	(-6.143227237480e-02 0.000000000000e+00 -6.272872444059e-02)	(-6.143227237480e-02 0.000000000000e+00 -6.272872444059e-02)	(0.000000000000e+00 -3.857888480650e-02 0.000000000000e+00)	(-2.549228713330e-01 0.000000000000e+00 7.251755684599e-02)	(0.000000000000e+00 3.553680452245e-02 0.000000000000e+00)
4.71176             	(-6.292380439710e-02 0.000000000000e+00 -6.229429180484e-02)	(-6.292380439710e-02 0.000000000000e+00 -6.229429180484e-02)	(0.000000000000e+00 -3.835958472104e-02 0.000000000000e+00)	(-2.521952886657e-01 0.000000000000e+00 7.519221396740e-02)	(0.000000000000e+00 3.902871644554e-02 0.000000000000e+00)
4.71765             	(-6.439896930876e-02 0.000000000000e+00 -6.184406390325e-02)	(-6.439896930876e-02 0.000000000000e+00 -6.184406390325e-02)	(0.000000000000e+00 -3.811812603621e-02 0.000000000000e+00)	(-2.493579439532e-01 0.000000000000e+00 7.788796832734e-02)	(0.000000000000e+00 4.307127895845e-02 0.000000000000e+00)
4.72353             	(-6.585718263927e-02 0.000000000000e+00 -6.137792085623e-02)	(-6.585718263927e-02 0.000000000000e+00 -6.137792085623e-02)	(0.000000000000e+00 -3.785134776522e-02 0.000000000000e+00)	(-2.464316621398e-01 0.000000000000e+00 8.060338307336e-02)	(0.000000000000e+00 4.763789979962e-02 0.000000000000e+00)
4.72899             	(-6.719567366463e-02 0.000000000000e+00 -6.093070678183e-02)	(-6.719567366463e-02 0.000000000000e+00 -6.093070678183e-02)	(0.000000000000e+00 -3.757830533294e-02 0.000000000000e+00)	(-2.436592023758e-01 0.000000000000e+00 8.314831525585e-02)	(0.000000000000e+00 5.234234138540e-02 0.000000000000e+00)
4.73445             	(-6.851882519085e-02 0.000000000000e+00 -6.046951973041e-02)	(-6.851882519085e-02 0.000000000000e+00 -6.046951973041e-02)	(0.000000000000e+00 -3.727846631098e-02 0.000000000000e+00)	(-2.408149737677e-01 0.000000000000e+00 8.571966877170e-02)	(0.000000000000e+00 5.744997736771e-02 0.000000000000e+00)
4.73992             	(-6.982613726703e-02 0.000000000000e+00 -5.999425292892e-02)	(-6.982613726703e-02 0.000000000000e+00 -5.999425292892e-02)	(0.000000000000e+00 -3.695004706629e-02 0.000000000000e+00)	(-2.378594154883e-01 0.000000000000e+00 8.830368255524e-02)	(0.000000000000e+00 6.280734959728e-02 0.000000000000e+00)
4.74492             	(-7.101004447915e-02 0.000000000000e+00 -5.954615104461e-02)	(-7.101004447915e-02 0.000000000000e+00 -5.954615104461e-02)	(0.000000000000e+00 -3.662344151064e-02 0.000000000000e+00)	(-2.350383225546e-01 0.000000000000e+00 9.068876988986e-02)	(0.000000000000e+00 6.765700592466e-02 0.000000000000e+00)
4.74993             	(-7.217959976083e-02 0.000000000000e+00 -5.908607074389e-02)	(-7.217959976083e-02 0.000000000000e+00 -5.908607074389e-02)	(0.000000000000e+00 -3.627340746554e-02 0.000000000000e+00)	(-2.321265817159e-01 0.000000000000e+00 9.308836241017e-02)	(0.000000000000e+00 7.216529716382e-02 0.000000000000e+00)
4.75494             	(-7.333437621482e-02 0.000000000000e+00 -5.861395469895e-02)	(-7.333437621482e-02 0.000000000000e+00 -5.861395469895e-02)	(0.000000000000e+00 -3.590186634099e-02 0.000000000000e+00)	(-2.291349794949e-01 0.000000000000e+00 9.549634268231e-02)	(0.000000000000e+00 7.624737956465e-02 0.000000000000e+00)
4.75994             	(-7.447400350182e-02 0.000000000000e+00 -5.812975576650e-02)	(-7.447400350182e-02 0.000000000000e+00 -5.812975576650e-02)	(0.000000000000e+00 -3.551087692637e-02 0.000000000000e+00)	(-2.260753219203e-01 0.000000000000e+00 9.791476820146e-02)	(0.000000000000e+00 7.993333690600e-02 0.000000000000e+00)
4.76495             	(-7.559811719014e-02 0.000000000000e+00 -5.763342751402e-02)	(-7.559811719014e-02 0.000000000000e+00 -5.763342751402e-02)	(0.000000000000e+00 -3.510187436341e-02 0.000000000000e+00)	(-2.229381414358e-01 0.000000000000e+00 1.003412931568e-01)	(0.000000000000e+00 8.344238470332e-02 0.000000000000e+00)
4.76933             	(-7.656865493013e-02 0.000000000000e+00 -5.718916764401e-02)	(-7.656865493013e-02 0.000000000000e+00 -5.718916764401e-02)	(0.000000000000e+00 -3.472946082384e-02 0.000000000000e+00)	(-2.201129051200e-01 0.000000000000e+00 1.024670165866e-01)	(0.000000000000e+00 8.656882469171e-02 0.000000000000e+00)
