# Motion State      
# Angle Units       : radians
# Time              	centreOfRotation	centreOfMass	rotation	velocity	omega
0.533333            	(2.121538075385e-05 0.000000000000e+00 -2.188322897091e-02)	(2.121538075385e-05 0.000000000000e+00 -2.188322897091e-02)	(0.000000000000e+00 7.249849421831e-05 0.000000000000e+00)	(1.926918225671e-04 0.000000000000e+00 1.766117443006e-02)	(0.000000000000e+00 5.520895275023e-04 0.000000000000e+00)
0.566667            	(2.857801593132e-05 0.000000000000e+00 -2.124446413978e-02)	(2.857801593132e-05 0.000000000000e+00 -2.124446413978e-02)	(0.000000000000e+00 9.295279255552e-05 0.000000000000e+00)	(2.491227189779e-04 0.000000000000e+00 2.066772198478e-02)	(0.000000000000e+00 6.752915747794e-04 0.000000000000e+00)
0.6                 	(3.805406991441e-05 0.000000000000e+00 -2.052695530779e-02)	(3.805406991441e-05 0.000000000000e+00 -2.052695530779e-02)	(0.000000000000e+00 1.178580718894e-04 0.000000000000e+00)	(3.195109081965e-04 0.000000000000e+00 2.238452473778e-02)	(0.000000000000e+00 8.191690627403e-04 0.000000000000e+00)
0.625               	(4.685921748635e-05 0.000000000000e+00 -1.996524598825e-02)	(4.685921748635e-05 0.000000000000e+00 -1.996524598825e-02)	(0.000000000000e+00 1.399241423635e-04 0.000000000000e+00)	(3.849663530037e-04 0.000000000000e+00 2.255238868914e-02)	(0.000000000000e+00 9.462436497790e-04 0.000000000000e+00)
0.65                	(5.749495829164e-05 0.000000000000e+00 -1.941056812594e-02)	(5.749495829164e-05 0.000000000000e+00 -1.941056812594e-02)	(0.000000000000e+00 1.652515337065e-04 0.000000000000e+00)	(4.659739189855e-04 0.000000000000e+00 2.182110901570e-02)	(0.000000000000e+00 1.080081495506e-03 0.000000000000e+00)
0.675               	(7.024236123842e-05 0.000000000000e+00 -1.888358500321e-02)	(7.024236123842e-05 0.000000000000e+00 -1.888358500321e-02)	(0.000000000000e+00 1.940902038379e-04 0.000000000000e+00)	(5.539062490868e-04 0.000000000000e+00 2.033605574975e-02)	(0.000000000000e+00 1.227159192710e-03 0.000000000000e+00)
0.7                 	(8.538142882422e-05 0.000000000000e+00 -1.840175140237e-02)	(8.538142882422e-05 0.000000000000e+00 -1.840175140237e-02)	(0.000000000000e+00 2.266585835440e-04 0.000000000000e+00)	(6.573225741022e-04 0.000000000000e+00 1.820850476652e-02)	(0.000000000000e+00 1.378462487071e-03 0.000000000000e+00)
0.72                	(9.938934092867e-05 0.000000000000e+00 -1.805898568094e-02)	(9.938934092867e-05 0.000000000000e+00 -1.805898568094e-02)	(0.000000000000e+00 2.558214492244e-04 0.000000000000e+00)	(7.435548686371e-04 0.000000000000e+00 1.606592479639e-02)	(0.000000000000e+00 1.537983602090e-03 0.000000000000e+00)
0.746667            	(1.209372723595e-04 0.000000000000e+00 -1.767217161459e-02)	(1.209372723595e-04 0.000000000000e+00 -1.767217161459e-02)	(0.000000000000e+00 3.000504426975e-04 0.000000000000e+00)	(8.726691029073e-04 0.000000000000e+00 1.294200626104e-02)	(0.000000000000e+00 1.779432357142e-03 0.000000000000e+00)
0.773333            	(1.462389029353e-04 0.000000000000e+00 -1.737576503887e-02)	(1.462389029353e-04 0.000000000000e+00 -1.737576503887e-02)	(0.000000000000e+00 3.507897046809e-04 0.000000000000e+00)	(1.025105626808e-03 0.000000000000e+00 9.284829741840e-03)	(0.000000000000e+00 2.026259118379e-03 0.000000000000e+00)
0.8                 	(1.759606025450e-04 0.000000000000e+00 -1.718044274667e-02)	(1.759606025450e-04 0.000000000000e+00 -1.718044274667e-02)	(0.000000000000e+00 4.080661878489e-04 0.000000000000e+00)	(1.204200939227e-03 0.000000000000e+00 5.360417761366e-03)	(0.000000000000e+00 2.269720580684e-03 0.000000000000e+00)
0.833333            	(2.203976081506e-04 0.000000000000e+00 -1.708205185750e-02)	(2.203976081506e-04 0.000000000000e+00 -1.708205185750e-02)	(0.000000000000e+00 4.879314524148e-04 0.000000000000e+00)	(1.462277473644e-03 0.000000000000e+00 5.382133843541e-04)	(0.000000000000e+00 2.522448020716e-03 0.000000000000e+00)
0.855556            	(2.550918651112e-04 0.000000000000e+00 -1.710412040757e-02)	(2.550918651112e-04 0.000000000000e+00 -1.710412040757e-02)	(0.000000000000e+00 5.499113213571e-04 0.000000000000e+00)	(1.660403779117e-03 0.000000000000e+00 -2.527448553133e-03)	(0.000000000000e+00 3.056274010079e-03 0.000000000000e+00)
0.877778            	(2.943588081390e-04 0.000000000000e+00 -1.719082749949e-02)	(2.943588081390e-04 0.000000000000e+00 -1.719082749949e-02)	(0.000000000000e+00 6.216750332564e-04 0.000000000000e+00)	(1.873834524130e-03 0.000000000000e+00 -5.278941212316e-03)	(0.000000000000e+00 3.402806593445e-03 0.000000000000e+00)
0.9                 	(3.386545165820e-04 0.000000000000e+00 -1.733553323005e-02)	(3.386545165820e-04 0.000000000000e+00 -1.733553323005e-02)	(0.000000000000e+00 7.007994111506e-04 0.000000000000e+00)	(2.113018419640e-03 0.000000000000e+00 -7.747042639428e-03)	(0.000000000000e+00 3.718703313755e-03 0.000000000000e+00)
0.925               	(3.951735933551e-04 0.000000000000e+00 -1.755909525958e-02)	(3.951735933551e-04 0.000000000000e+00 -1.755909525958e-02)	(0.000000000000e+00 7.972394158293e-04 0.000000000000e+00)	(2.408803507290e-03 0.000000000000e+00 -1.014031299276e-02)	(0.000000000000e+00 3.996775132357e-03 0.000000000000e+00)
0.95                	(4.592922787375e-04 0.000000000000e+00 -1.783574286324e-02)	(4.592922787375e-04 0.000000000000e+00 -1.783574286324e-02)	(0.000000000000e+00 9.007439067289e-04 0.000000000000e+00)	(2.721003523321e-03 0.000000000000e+00 -1.199334833608e-02)	(0.000000000000e+00 4.283871235719e-03 0.000000000000e+00)
0.975               	(5.317065005262e-04 0.000000000000e+00 -1.815015331074e-02)	(5.317065005262e-04 0.000000000000e+00 -1.815015331074e-02)	(0.000000000000e+00 1.012839429212e-03 0.000000000000e+00)	(3.072485701952e-03 0.000000000000e+00 -1.316065476999e-02)	(0.000000000000e+00 4.684170862556e-03 0.000000000000e+00)
1                   	(6.132357517969e-04 0.000000000000e+00 -1.848505576448e-02)	(6.132357517969e-04 0.000000000000e+00 -1.848505576448e-02)	(0.000000000000e+00 1.134977516439e-03 0.000000000000e+00)	(3.450232146150e-03 0.000000000000e+00 -1.363201288722e-02)	(0.000000000000e+00 5.087279223927e-03 0.000000000000e+00)
1.025               	(7.043857645600e-04 0.000000000000e+00 -1.882444655444e-02)	(7.043857645600e-04 0.000000000000e+00 -1.882444655444e-02)	(0.000000000000e+00 1.266653975526e-03 0.000000000000e+00)	(3.842160803558e-03 0.000000000000e+00 -1.351913743425e-02)	(0.000000000000e+00 5.447197421284e-03 0.000000000000e+00)
1.05                	(8.055111068791e-04 0.000000000000e+00 -1.915310357965e-02)	(8.055111068791e-04 0.000000000000e+00 -1.915310357965e-02)	(0.000000000000e+00 1.406373200396e-03 0.000000000000e+00)	(4.248272693860e-03 0.000000000000e+00 -1.277267812350e-02)	(0.000000000000e+00 5.730623994858e-03 0.000000000000e+00)
1.075               	(9.170710865002e-04 0.000000000000e+00 -1.945557316770e-02)	(9.170710865002e-04 0.000000000000e+00 -1.945557316770e-02)	(0.000000000000e+00 1.552662226629e-03 0.000000000000e+00)	(4.676954357492e-03 0.000000000000e+00 -1.142353978161e-02)	(0.000000000000e+00 5.972740220018e-03 0.000000000000e+00)
1.1                 	(1.039693661439e-03 0.000000000000e+00 -1.971688995783e-02)	(1.039693661439e-03 0.000000000000e+00 -1.971688995783e-02)	(0.000000000000e+00 1.705113157728e-03 0.000000000000e+00)	(5.133307991271e-03 0.000000000000e+00 -9.479859748746e-03)	(0.000000000000e+00 6.223585112822e-03 0.000000000000e+00)
1.125               	(1.174128490863e-03 0.000000000000e+00 -1.992325970400e-02)	(1.174128490863e-03 0.000000000000e+00 -1.992325970400e-02)	(0.000000000000e+00 1.863691715338e-03 0.000000000000e+00)	(5.621967021614e-03 0.000000000000e+00 -7.027267352855e-03)	(0.000000000000e+00 6.462938849733e-03 0.000000000000e+00)
1.15                	(1.321066770576e-03 0.000000000000e+00 -2.006433977748e-02)	(1.321066770576e-03 0.000000000000e+00 -2.006433977748e-02)	(0.000000000000e+00 2.026755350221e-03 0.000000000000e+00)	(6.133606995460e-03 0.000000000000e+00 -4.256367625999e-03)	(0.000000000000e+00 6.582271273282e-03 0.000000000000e+00)
1.175               	(1.481104537549e-03 0.000000000000e+00 -2.013306889039e-02)	(1.481104537549e-03 0.000000000000e+00 -2.013306889039e-02)	(0.000000000000e+00 2.192489669832e-03 0.000000000000e+00)	(6.669950706055e-03 0.000000000000e+00 -1.238943983137e-03)	(0.000000000000e+00 6.676568592921e-03 0.000000000000e+00)
1.2                 	(1.654957843632e-03 0.000000000000e+00 -2.012472912484e-02)	(1.654957843632e-03 0.000000000000e+00 -2.012472912484e-02)	(0.000000000000e+00 2.356846177273e-03 0.000000000000e+00)	(7.238882712622e-03 0.000000000000e+00 1.909273444580e-03)	(0.000000000000e+00 6.471747180990e-03 0.000000000000e+00)
1.23333             	(1.909877870938e-03 0.000000000000e+00 -1.999031022303e-02)	(1.909877870938e-03 0.000000000000e+00 -1.999031022303e-02)	(0.000000000000e+00 2.568836053989e-03 0.000000000000e+00)	(8.057137180173e-03 0.000000000000e+00 6.160111502496e-03)	(0.000000000000e+00 6.247421095841e-03 0.000000000000e+00)
1.26667             	(2.193177483535e-03 0.000000000000e+00 -1.971423255210e-02)	(2.193177483535e-03 0.000000000000e+00 -1.971423255210e-02)	(0.000000000000e+00 2.778501900472e-03 0.000000000000e+00)	(8.941724162657e-03 0.000000000000e+00 1.040879743914e-02)	(0.000000000000e+00 6.332614886941e-03 0.000000000000e+00)
1.3                 	(2.506738942677e-03 0.000000000000e+00 -1.930494574829e-02)	(2.506738942677e-03 0.000000000000e+00 -1.930494574829e-02)	(0.000000000000e+00 2.997208687238e-03 0.000000000000e+00)	(9.872894556269e-03 0.000000000000e+00 1.415215414608e-02)	(0.000000000000e+00 6.790249954123e-03 0.000000000000e+00)
1.33333             	(2.851151128669e-03 0.000000000000e+00 -1.878339860084e-02)	(2.851151128669e-03 0.000000000000e+00 -1.878339860084e-02)	(0.000000000000e+00 3.232272875518e-03 0.000000000000e+00)	(1.079275646516e-02 0.000000000000e+00 1.714366621313e-02)	(0.000000000000e+00 7.314125217905e-03 0.000000000000e+00)
1.36667             	(3.225246432838e-03 0.000000000000e+00 -1.817625447685e-02)	(3.225246432838e-03 0.000000000000e+00 -1.817625447685e-02)	(0.000000000000e+00 3.471276296438e-03 0.000000000000e+00)	(1.165382285135e-02 0.000000000000e+00 1.928712468475e-02)	(0.000000000000e+00 7.025791703788e-03 0.000000000000e+00)
1.4                 	(3.628145674057e-03 0.000000000000e+00 -1.751504127858e-02)	(3.628145674057e-03 0.000000000000e+00 -1.751504127858e-02)	(0.000000000000e+00 3.697899827001e-03 0.000000000000e+00)	(1.252099879776e-02 0.000000000000e+00 2.038676685362e-02)	(0.000000000000e+00 6.571165503823e-03 0.000000000000e+00)
1.43333             	(4.058072004408e-03 0.000000000000e+00 -1.683695234239e-02)	(4.058072004408e-03 0.000000000000e+00 -1.683695234239e-02)	(0.000000000000e+00 3.900043290338e-03 0.000000000000e+00)	(1.327533535984e-02 0.000000000000e+00 2.029848103185e-02)	(0.000000000000e+00 5.556427558432e-03 0.000000000000e+00)
1.46667             	(4.510441162915e-03 0.000000000000e+00 -1.618122116211e-02)	(4.510441162915e-03 0.000000000000e+00 -1.618122116211e-02)	(0.000000000000e+00 4.056776908767e-03 0.000000000000e+00)	(1.386740622142e-02 0.000000000000e+00 1.904413543932e-02)	(0.000000000000e+00 3.845878998715e-03 0.000000000000e+00)
1.5                 	(4.979788750234e-03 0.000000000000e+00 -1.558480335673e-02)	(4.979788750234e-03 0.000000000000e+00 -1.558480335673e-02)	(0.000000000000e+00 4.147993580738e-03 0.000000000000e+00)	(1.429387548700e-02 0.000000000000e+00 1.673862737555e-02)	(0.000000000000e+00 1.624900340923e-03 0.000000000000e+00)
1.53333             	(5.461263822193e-03 0.000000000000e+00 -1.508170233304e-02)	(5.461263822193e-03 0.000000000000e+00 -1.508170233304e-02)	(0.000000000000e+00 4.164666370110e-03 0.000000000000e+00)	(1.459492988496e-02 0.000000000000e+00 1.344413955762e-02)	(0.000000000000e+00 -6.267846636159e-04 0.000000000000e+00)
1.56667             	(5.949272897557e-03 0.000000000000e+00 -1.470241644732e-02)	(5.949272897557e-03 0.000000000000e+00 -1.470241644732e-02)	(0.000000000000e+00 4.104261678910e-03 0.000000000000e+00)	(1.468570541244e-02 0.000000000000e+00 9.308878324267e-03)	(0.000000000000e+00 -2.999869893633e-03 0.000000000000e+00)
1.6                 	(6.436087328184e-03 0.000000000000e+00 -1.447145614215e-02)	(6.436087328184e-03 0.000000000000e+00 -1.447145614215e-02)	(0.000000000000e+00 3.950274746665e-03 0.000000000000e+00)	(1.452299771747e-02 0.000000000000e+00 4.543975083097e-03)	(0.000000000000e+00 -6.242588759912e-03 0.000000000000e+00)
1.63333             	(6.913003328619e-03 0.000000000000e+00 -1.440571163087e-02)	(6.913003328619e-03 0.000000000000e+00 -1.440571163087e-02)	(0.000000000000e+00 3.687731310615e-03 0.000000000000e+00)	(1.409153084174e-02 0.000000000000e+00 -6.044528345203e-04)	(0.000000000000e+00 -9.513288102422e-03 0.000000000000e+00)
1.66667             	(7.370152972878e-03 0.000000000000e+00 -1.451494347000e-02)	(7.370152972878e-03 0.000000000000e+00 -1.451494347000e-02)	(0.000000000000e+00 3.323278866660e-03 0.000000000000e+00)	(1.333669297591e-02 0.000000000000e+00 -5.954807868197e-03)	(0.000000000000e+00 -1.235670194870e-02 0.000000000000e+00)
1.7                 	(7.794970676459e-03 0.000000000000e+00 -1.480185740717e-02)	(7.794970676459e-03 0.000000000000e+00 -1.480185740717e-02)	(0.000000000000e+00 2.859780787895e-03 0.000000000000e+00)	(1.215118372974e-02 0.000000000000e+00 -1.126533889290e-02)	(0.000000000000e+00 -1.545628235766e-02 0.000000000000e+00)
1.73333             	(8.172652354295e-03 0.000000000000e+00 -1.526056321004e-02)	(8.172652354295e-03 0.000000000000e+00 -1.526056321004e-02)	(0.000000000000e+00 2.290678481225e-03 0.000000000000e+00)	(1.050807383056e-02 0.000000000000e+00 -1.626200594645e-02)	(0.000000000000e+00 -1.869309285302e-02 0.000000000000e+00)
1.76667             	(8.488723748975e-03 0.000000000000e+00 -1.587633878039e-02)	(8.488723748975e-03 0.000000000000e+00 -1.587633878039e-02)	(0.000000000000e+00 1.613569672806e-03 0.000000000000e+00)	(8.454155932337e-03 0.000000000000e+00 -2.068895522374e-02)	(0.000000000000e+00 -2.193667923847e-02 0.000000000000e+00)
1.8                 	(8.728931669661e-03 0.000000000000e+00 -1.662927660375e-02)	(8.728931669661e-03 0.000000000000e+00 -1.662927660375e-02)	(0.000000000000e+00 8.383276878274e-04 0.000000000000e+00)	(5.955820973840e-03 0.000000000000e+00 -2.449111633906e-02)	(0.000000000000e+00 -2.458048366468e-02 0.000000000000e+00)
1.83333             	(8.877354014449e-03 0.000000000000e+00 -1.749707368930e-02)	(8.877354014449e-03 0.000000000000e+00 -1.749707368930e-02)	(0.000000000000e+00 -4.414097339614e-05 0.000000000000e+00)	(2.946510402865e-03 0.000000000000e+00 -2.757979747535e-02)	(0.000000000000e+00 -2.837142695202e-02 0.000000000000e+00)
1.85556             	(8.917517998263e-03 0.000000000000e+00 -1.812673889813e-02)	(8.917517998263e-03 0.000000000000e+00 -1.812673889813e-02)	(0.000000000000e+00 -7.111457789106e-04 0.000000000000e+00)	(6.659675975774e-04 0.000000000000e+00 -2.909158310459e-02)	(0.000000000000e+00 -3.166229641374e-02 0.000000000000e+00)
1.87778             	(8.906047770571e-03 0.000000000000e+00 -1.878602347484e-02)	(8.906047770571e-03 0.000000000000e+00 -1.878602347484e-02)	(0.000000000000e+00 -1.453813943844e-03 0.000000000000e+00)	(-1.700654712174e-03 0.000000000000e+00 -3.024518239870e-02)	(0.000000000000e+00 -3.518135749131e-02 0.000000000000e+00)
1.9                 	(8.839632714015e-03 0.000000000000e+00 -1.946803229610e-02)	(8.839632714015e-03 0.000000000000e+00 -1.946803229610e-02)	(0.000000000000e+00 -2.263757805676e-03 0.000000000000e+00)	(-4.279279002082e-03 0.000000000000e+00 -3.113650283483e-02)	(0.000000000000e+00 -3.771612484091e-02 0.000000000000e+00)
1.925               	(8.693587222676e-03 0.000000000000e+00 -2.025526316563e-02)	(8.693587222676e-03 0.000000000000e+00 -2.025526316563e-02)	(0.000000000000e+00 -3.238786125480e-03 0.000000000000e+00)	(-7.407488514585e-03 0.000000000000e+00 -3.184267289757e-02)	(0.000000000000e+00 -4.028871333194e-02 0.000000000000e+00)
1.95                	(8.466239080749e-03 0.000000000000e+00 -2.105674959127e-02)	(8.466239080749e-03 0.000000000000e+00 -2.105674959127e-02)	(0.000000000000e+00 -4.273320214974e-03 0.000000000000e+00)	(-1.078373909016e-02 0.000000000000e+00 -3.227667515620e-02)	(0.000000000000e+00 -4.247620131551e-02 0.000000000000e+00)
1.975               	(8.152025798052e-03 0.000000000000e+00 -2.186736617318e-02)	(8.152025798052e-03 0.000000000000e+00 -2.186736617318e-02)	(0.000000000000e+00 -5.353570020967e-03 0.000000000000e+00)	(-1.435689668318e-02 0.000000000000e+00 -3.257294766878e-02)	(0.000000000000e+00 -4.394525221481e-02 0.000000000000e+00)
2                   	(7.747044976981e-03 0.000000000000e+00 -2.268296745158e-02)	(7.747044976981e-03 0.000000000000e+00 -2.268296745158e-02)	(0.000000000000e+00 -6.463162911126e-03 0.000000000000e+00)	(-1.804525736317e-02 0.000000000000e+00 -3.267525691229e-02)	(0.000000000000e+00 -4.482305680256e-02 0.000000000000e+00)
2.01667             	(7.424694480012e-03 0.000000000000e+00 -2.322659650670e-02)	(7.424694480012e-03 0.000000000000e+00 -2.322659650670e-02)	(0.000000000000e+00 -7.214408198233e-03 0.000000000000e+00)	(-2.063939641219e-02 0.000000000000e+00 -3.256011455982e-02)	(0.000000000000e+00 -4.532688147484e-02 0.000000000000e+00)
2.03333             	(7.058899321934e-03 0.000000000000e+00 -2.376803215151e-02)	(7.058899321934e-03 0.000000000000e+00 -2.376803215151e-02)	(0.000000000000e+00 -7.971233669001e-03 0.000000000000e+00)	(-2.325864180253e-02 0.000000000000e+00 -3.241201471838e-02)	(0.000000000000e+00 -4.549234047634e-02 0.000000000000e+00)
2.05                	(6.648843732267e-03 0.000000000000e+00 -2.430656231965e-02)	(6.648843732267e-03 0.000000000000e+00 -2.430656231965e-02)	(0.000000000000e+00 -8.729138522138e-03 0.000000000000e+00)	(-2.595072103675e-02 0.000000000000e+00 -3.221140484871e-02)	(0.000000000000e+00 -4.545620576539e-02 0.000000000000e+00)
2.06667             	(6.193337169820e-03 0.000000000000e+00 -2.484174912903e-02)	(6.193337169820e-03 0.000000000000e+00 -2.484174912903e-02)	(0.000000000000e+00 -9.483368351376e-03 0.000000000000e+00)	(-2.871282856446e-02 0.000000000000e+00 -3.201081168376e-02)	(0.000000000000e+00 -4.505096850596e-02 0.000000000000e+00)
2.08333             	(5.691300656166e-03 0.000000000000e+00 -2.537380692244e-02)	(5.691300656166e-03 0.000000000000e+00 -2.537380692244e-02)	(0.000000000000e+00 -1.022636295981e-02 0.000000000000e+00)	(-3.153437462008e-02 0.000000000000e+00 -3.183594866157e-02)	(0.000000000000e+00 -4.410744097850e-02 0.000000000000e+00)
2.1                 	(5.141927024386e-03 0.000000000000e+00 -2.590305253376e-02)	(5.141927024386e-03 0.000000000000e+00 -2.590305253376e-02)	(0.000000000000e+00 -1.095231517260e-02 0.000000000000e+00)	(-3.439332013905e-02 0.000000000000e+00 -3.167336211024e-02)	(0.000000000000e+00 -4.300572283825e-02 0.000000000000e+00)
2.11429             	(4.632940960159e-03 0.000000000000e+00 -2.635471163832e-02)	(4.632940960159e-03 0.000000000000e+00 -2.635471163832e-02)	(0.000000000000e+00 -1.155732640033e-02 0.000000000000e+00)	(-3.686720273533e-02 0.000000000000e+00 -3.155879796406e-02)	(0.000000000000e+00 -4.169453785883e-02 0.000000000000e+00)
2.12857             	(4.088405482081e-03 0.000000000000e+00 -2.680479825154e-02)	(4.088405482081e-03 0.000000000000e+00 -2.680479825154e-02)	(0.000000000000e+00 -1.214413611370e-02 0.000000000000e+00)	(-3.937026726001e-02 0.000000000000e+00 -3.145322231161e-02)	(0.000000000000e+00 -4.045758505997e-02 0.000000000000e+00)
2.14286             	(3.507848597933e-03 0.000000000000e+00 -2.725346277125e-02)	(3.507848597933e-03 0.000000000000e+00 -2.725346277125e-02)	(0.000000000000e+00 -1.271524280182e-02 0.000000000000e+00)	(-4.191023648999e-02 0.000000000000e+00 -3.135971694251e-02)	(0.000000000000e+00 -3.949639008228e-02 0.000000000000e+00)
