Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 Node2px 	 Node2py 	 Node2pz 	 Node3px 	 Node3py 	 Node3pz 	 Node4px 	 Node4py 	 Node4pz 	 Node5px 	 Node5py 	 Node5pz 	 Node6px 	 Node6py 	 Node6pz 	 Node7px 	 Node7py 	 Node7pz 	 Node8px 	 Node8py 	 Node8pz 	 Node9px 	 Node9py 	 Node9pz 	 Node10px 	 Node10py 	 Node10pz 	 Node11px 	 Node11py 	 Node11pz 	 Node12px 	 Node12py 	 Node12pz 	 Node13px 	 Node13py 	 Node13pz 	 Node14px 	 Node14py 	 Node14pz 	 Node15px 	 Node15py 	 Node15pz 	 Node16px 	 Node16py 	 Node16pz 	 Node17px 	 Node17py 	 Node17pz 	 Node18px 	 Node18py 	 Node18pz 	 Node19px 	 Node19py 	 Node19pz 	 Node20px 	 Node20py 	 Node20pz 	 Node21px 	 Node21py 	 Node21pz 	 Node22px 	 Node22py 	 Node22pz 	 Node23px 	 Node23py 	 Node23pz 	 Node24px 	 Node24py 	 Node24pz 	 Node25px 	 Node25py 	 Node25pz 	 Node26px 	 Node26py 	 Node26pz 	 Node27px 	 Node27py 	 Node27pz 	 Node28px 	 Node28py 	 Node28pz 	 Node29px 	 Node29py 	 Node29pz 	 Node30px 	 Node30py 	 Node30pz 	 Node31px 	 Node31py 	 Node31pz 	 Node32px 	 Node32py 	 Node32pz 	 Node33px 	 Node33py 	 Node33pz 	 Node34px 	 Node34py 	 Node34pz 	 Node35px 	 Node35py 	 Node35pz 	 Node36px 	 Node36py 	 Node36pz 	 Node37px 	 Node37py 	 Node37pz 	 Node38px 	 Node38py 	 Node38pz 	 Node39px 	 Node39py 	 Node39pz 	 Node40px 	 Node40py 	 Node40pz 	 Seg0Te 	 Seg1Te 	 Seg2Te 	 Seg3Te 	 Seg4Te 	 Seg5Te 	 Seg6Te 	 Seg7Te 	 Seg8Te 	 Seg9Te 	 Seg10Te 	 Seg11Te 	 Seg12Te 	 Seg13Te 	 Seg14Te 	 Seg15Te 	 Seg16Te 	 Seg17Te 	 Seg18Te 	 Seg19Te 	 Seg20Te 	 Seg21Te 	 Seg22Te 	 Seg23Te 	 Seg24Te 	 Seg25Te 	 Seg26Te 	 Seg27Te 	 Seg28Te 	 Seg29Te 	 Seg30Te 	 Seg31Te 	 Seg32Te 	 Seg33Te 	 Seg34Te 	 Seg35Te 	 Seg36Te 	 Seg37Te 	 Seg38Te 	 Seg39Te 	 
(s)	 (m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	
0	 1.385	 -0.423	 -0.5	 1.34933	 -0.414035	 -0.500044	 1.31367	 -0.40507	 -0.500045	 1.278	 -0.396105	 -0.500045	 1.24234	 -0.38714	 -0.500045	 1.20667	 -0.378175	 -0.500045	 1.17101	 -0.369211	 -0.500045	 1.13534	 -0.360246	 -0.500045	 1.09968	 -0.351281	 -0.500045	 1.06401	 -0.342316	 -0.500045	 1.02835	 -0.333351	 -0.500045	 0.992681	 -0.324386	 -0.500045	 0.957016	 -0.315421	 -0.500045	 0.92135	 -0.306456	 -0.500045	 0.885685	 -0.297491	 -0.500045	 0.85002	 -0.288526	 -0.500045	 0.814354	 -0.279561	 -0.500044	 0.778689	 -0.270597	 -0.500006	 0.743067	 -0.261643	 -0.498173	 0.707597	 -0.252727	 -0.494313	 0.67238	 -0.243875	 -0.488464	 0.637519	 -0.235112	 -0.480657	 0.603104	 -0.226461	 -0.470949	 0.569208	 -0.217941	 -0.459442	 0.535907	 -0.20957	 -0.446196	 0.503252	 -0.201362	 -0.431316	 0.471272	 -0.193324	 -0.414931	 0.440005	 -0.185464	 -0.39712	 0.409482	 -0.177792	 -0.377966	 0.379716	 -0.17031	 -0.357563	 0.350706	 -0.163018	 -0.336011	 0.322444	 -0.155914	 -0.313404	 0.294933	 -0.148999	 -0.289813	 0.26817	 -0.142272	 -0.265302	 0.242136	 -0.135727	 -0.239947	 0.216806	 -0.129361	 -0.213823	 0.192163	 -0.123166	 -0.186988	 0.168182	 -0.117138	 -0.159501	 0.144838	 -0.111271	 -0.131414	 0.122117	 -0.105559	 -0.102767	 0.1	 -0.1	 -0.0736	 0.318749	 0.318749	 0.31875	 0.31875	 0.318751	 0.318752	 0.318753	 0.318754	 0.318756	 0.318757	 0.318759	 0.318761	 0.318763	 0.318766	 0.318768	 0.31877	 0.318773	 0.319171	 0.320551	 0.3229	 0.326204	 0.330447	 0.335587	 0.341586	 0.348406	 0.355978	 0.36425	 0.373189	 0.382753	 0.392893	 0.403559	 0.414711	 0.426319	 0.438351	 0.450766	 0.463532	 0.47662	 0.49	 0.503651	 0.517555	 
0.0270833	 1.385	 -0.423	 -0.5	 1.34933	 -0.414035	 -0.500044	 1.31367	 -0.40507	 -0.500045	 1.278	 -0.396105	 -0.500045	 1.24234	 -0.38714	 -0.500045	 1.20667	 -0.378175	 -0.500045	 1.17101	 -0.369211	 -0.500045	 1.13534	 -0.360246	 -0.500045	 1.09968	 -0.351281	 -0.500045	 1.06401	 -0.342316	 -0.500045	 1.02835	 -0.333351	 -0.500045	 0.992681	 -0.324386	 -0.500045	 0.957016	 -0.315421	 -0.500045	 0.92135	 -0.306456	 -0.500045	 0.885685	 -0.297491	 -0.500045	 0.850019	 -0.288526	 -0.500045	 0.814354	 -0.279561	 -0.500044	 0.778689	 -0.270596	 -0.500006	 0.743067	 -0.261643	 -0.498168	 0.707596	 -0.252726	 -0.494315	 0.67238	 -0.243875	 -0.48846	 0.63752	 -0.235112	 -0.480646	 0.603104	 -0.226461	 -0.470944	 0.569209	 -0.217941	 -0.459434	 0.535902	 -0.209569	 -0.446202	 0.503241	 -0.20136	 -0.431336	 0.471266	 -0.193322	 -0.414942	 0.440003	 -0.185464	 -0.397124	 0.409482	 -0.177792	 -0.377966	 0.379717	 -0.17031	 -0.357561	 0.350705	 -0.163018	 -0.336013	 0.322444	 -0.155914	 -0.313405	 0.294938	 -0.149	 -0.289808	 0.268175	 -0.142273	 -0.265296	 0.242138	 -0.135728	 -0.239944	 0.216811	 -0.129362	 -0.213818	 0.192168	 -0.123168	 -0.186983	 0.168183	 -0.117139	 -0.159499	 0.144835	 -0.11127	 -0.131416	 0.122113	 -0.105558	 -0.102771	 0.1	 -0.1	 -0.0736	 0.318754	 0.318754	 0.318755	 0.318756	 0.318758	 0.31876	 0.318762	 0.318765	 0.318768	 0.318771	 0.318774	 0.318778	 0.318781	 0.318784	 0.318787	 0.31879	 0.318793	 0.319194	 0.320571	 0.322916	 0.326222	 0.330462	 0.335598	 0.341588	 0.348392	 0.355959	 0.364233	 0.373172	 0.382734	 0.39287	 0.40353	 0.41468	 0.426287	 0.438314	 0.450725	 0.463489	 0.476572	 0.489945	 0.503591	 0.517494	 
0.0453125	 1.385	 -0.423	 -0.5	 1.34933	 -0.414035	 -0.500044	 1.31367	 -0.40507	 -0.500045	 1.278	 -0.396105	 -0.500045	 1.24234	 -0.38714	 -0.500045	 1.20667	 -0.378175	 -0.500045	 1.17101	 -0.36921	 -0.500045	 1.13534	 -0.360246	 -0.500045	 1.09968	 -0.351281	 -0.500045	 1.06401	 -0.342316	 -0.500045	 1.02835	 -0.333351	 -0.500045	 0.992681	 -0.324386	 -0.500045	 0.957015	 -0.315421	 -0.500045	 0.92135	 -0.306456	 -0.500045	 0.885684	 -0.297491	 -0.500045	 0.850019	 -0.288526	 -0.500045	 0.814354	 -0.279561	 -0.500044	 0.778688	 -0.270596	 -0.500006	 0.743066	 -0.261642	 -0.498177	 0.707596	 -0.252726	 -0.494315	 0.672383	 -0.243875	 -0.488446	 0.637523	 -0.235113	 -0.480628	 0.603105	 -0.226461	 -0.470934	 0.569211	 -0.217942	 -0.459421	 0.535899	 -0.209568	 -0.446203	 0.503229	 -0.201356	 -0.43136	 0.471254	 -0.193319	 -0.414963	 0.440002	 -0.185464	 -0.397126	 0.409484	 -0.177793	 -0.377962	 0.379713	 -0.170309	 -0.357567	 0.3507	 -0.163016	 -0.33602	 0.322449	 -0.155915	 -0.3134	 0.294949	 -0.149003	 -0.289794	 0.268185	 -0.142275	 -0.265285	 0.242145	 -0.13573	 -0.239937	 0.216813	 -0.129362	 -0.213815	 0.192163	 -0.123166	 -0.186987	 0.168176	 -0.117137	 -0.159505	 0.144836	 -0.11127	 -0.131415	 0.122119	 -0.10556	 -0.102765	 0.1	 -0.1	 -0.0736	 0.3188	 0.3188	 0.318799	 0.318799	 0.318799	 0.318799	 0.318798	 0.318798	 0.318797	 0.318796	 0.318795	 0.318794	 0.318792	 0.31879	 0.318788	 0.318785	 0.318782	 0.319173	 0.320546	 0.322897	 0.326208	 0.330443	 0.335573	 0.341554	 0.348337	 0.355891	 0.364171	 0.373117	 0.382675	 0.392802	 0.403464	 0.41462	 0.426228	 0.438251	 0.450658	 0.463417	 0.476495	 0.489871	 0.503522	 0.517427	 
0.0726562	 1.385	 -0.423	 -0.5	 1.34933	 -0.414035	 -0.500044	 1.31367	 -0.40507	 -0.500045	 1.278	 -0.396105	 -0.500045	 1.24234	 -0.38714	 -0.500045	 1.20667	 -0.378175	 -0.500045	 1.17101	 -0.36921	 -0.500045	 1.13534	 -0.360246	 -0.500045	 1.09968	 -0.351281	 -0.500045	 1.06401	 -0.342316	 -0.500045	 1.02835	 -0.333351	 -0.500045	 0.992681	 -0.324386	 -0.500045	 0.957016	 -0.315421	 -0.500045	 0.921351	 -0.306456	 -0.500045	 0.885686	 -0.297492	 -0.500045	 0.850022	 -0.288527	 -0.500045	 0.814359	 -0.279563	 -0.500044	 0.778698	 -0.270599	 -0.500006	 0.743082	 -0.261646	 -0.498186	 0.707622	 -0.252733	 -0.494311	 0.672422	 -0.243885	 -0.488439	 0.637579	 -0.235127	 -0.480628	 0.603183	 -0.226481	 -0.470938	 0.569303	 -0.217965	 -0.459468	 0.536015	 -0.209598	 -0.446274	 0.503373	 -0.201393	 -0.431448	 0.471414	 -0.193359	 -0.415094	 0.440175	 -0.185507	 -0.397298	 0.409672	 -0.17784	 -0.378161	 0.379917	 -0.170361	 -0.357783	 0.350917	 -0.163071	 -0.336248	 0.322671	 -0.155971	 -0.313646	 0.295171	 -0.149059	 -0.29006	 0.268408	 -0.142331	 -0.265566	 0.242359	 -0.135784	 -0.240242	 0.217008	 -0.129411	 -0.214153	 0.192349	 -0.123213	 -0.187347	 0.168359	 -0.117183	 -0.159882	 0.144972	 -0.111304	 -0.131845	 0.122137	 -0.105564	 -0.103308	 0.1	 -0.1	 -0.0741696	 0.318806	 0.318804	 0.318802	 0.318798	 0.318793	 0.318787	 0.318778	 0.318766	 0.318749	 0.31872	 0.31867	 0.318579	 0.318416	 0.318129	 0.317639	 0.316841	 0.315605	 0.314184	 0.313085	 0.312269	 0.311828	 0.312046	 0.313376	 0.316375	 0.321563	 0.329216	 0.339258	 0.351229	 0.364411	 0.378056	 0.391599	 0.404775	 0.417598	 0.430243	 0.442912	 0.455762	 0.468873	 0.482248	 0.495847	 0.509706	 
0.1	 1.385	 -0.423	 -0.5	 1.34935	 -0.414039	 -0.500044	 1.3137	 -0.405077	 -0.500045	 1.27805	 -0.396116	 -0.500045	 1.2424	 -0.387156	 -0.500045	 1.20675	 -0.378196	 -0.500045	 1.17111	 -0.369236	 -0.500045	 1.13547	 -0.360277	 -0.500045	 1.09982	 -0.351318	 -0.500045	 1.06418	 -0.342359	 -0.500045	 1.02854	 -0.3334	 -0.500045	 0.992898	 -0.32444	 -0.500045	 0.957253	 -0.315481	 -0.500045	 0.921606	 -0.30652	 -0.500045	 0.885957	 -0.29756	 -0.500045	 0.850306	 -0.288598	 -0.500045	 0.814654	 -0.279637	 -0.500044	 0.779001	 -0.270675	 -0.500006	 0.743385	 -0.261722	 -0.49831	 0.707922	 -0.252808	 -0.494503	 0.672718	 -0.243959	 -0.488672	 0.637869	 -0.2352	 -0.480887	 0.603458	 -0.22655	 -0.471238	 0.569572	 -0.218032	 -0.459776	 0.536272	 -0.209662	 -0.446597	 0.503613	 -0.201453	 -0.431792	 0.471638	 -0.193416	 -0.415456	 0.440373	 -0.185557	 -0.397694	 0.409852	 -0.177885	 -0.378577	 0.380095	 -0.170405	 -0.358195	 0.351092	 -0.163115	 -0.336661	 0.322838	 -0.156013	 -0.314067	 0.295327	 -0.149098	 -0.290495	 0.268547	 -0.142366	 -0.266019	 0.242491	 -0.135817	 -0.240705	 0.217139	 -0.129444	 -0.214619	 0.192443	 -0.123237	 -0.187851	 0.168349	 -0.11718	 -0.160483	 0.144899	 -0.111286	 -0.132505	 0.12213	 -0.105563	 -0.103913	 0.1	 -0.1	 -0.0747704	 0.307179	 0.306671	 0.305717	 0.304437	 0.302996	 0.301585	 0.3004	 0.299613	 0.29935	 0.299666	 0.300541	 0.301874	 0.303503	 0.305225	 0.306819	 0.308074	 0.308811	 0.309227	 0.309927	 0.310924	 0.312301	 0.314274	 0.317178	 0.321407	 0.327298	 0.335031	 0.344538	 0.355512	 0.367484	 0.37994	 0.392487	 0.40494	 0.417303	 0.429686	 0.442219	 0.454983	 0.467993	 0.481264	 0.494836	 0.508706	 
0.133333	 1.385	 -0.423	 -0.5	 1.34937	 -0.414044	 -0.500044	 1.31374	 -0.405087	 -0.500045	 1.27811	 -0.396131	 -0.500045	 1.24248	 -0.387175	 -0.500045	 1.20685	 -0.378219	 -0.500045	 1.17122	 -0.369263	 -0.500045	 1.13559	 -0.360307	 -0.500045	 1.09996	 -0.351351	 -0.500045	 1.06433	 -0.342395	 -0.500045	 1.02869	 -0.333438	 -0.500045	 0.993061	 -0.324482	 -0.500045	 0.957428	 -0.315525	 -0.500045	 0.921795	 -0.306568	 -0.500045	 0.886161	 -0.297611	 -0.500045	 0.850527	 -0.288654	 -0.500045	 0.814894	 -0.279697	 -0.500044	 0.779261	 -0.27074	 -0.500008	 0.743658	 -0.261791	 -0.498537	 0.708199	 -0.252878	 -0.494926	 0.672996	 -0.244029	 -0.489221	 0.638151	 -0.235271	 -0.481509	 0.603751	 -0.226624	 -0.471876	 0.569867	 -0.218107	 -0.460434	 0.536562	 -0.209735	 -0.447277	 0.50389	 -0.201523	 -0.432497	 0.471897	 -0.193481	 -0.416181	 0.440625	 -0.18562	 -0.398412	 0.410088	 -0.177944	 -0.379304	 0.380297	 -0.170456	 -0.358958	 0.351266	 -0.163159	 -0.337449	 0.322994	 -0.156052	 -0.314868	 0.295469	 -0.149134	 -0.291302	 0.268676	 -0.142399	 -0.266835	 0.242573	 -0.135838	 -0.241563	 0.217124	 -0.12944	 -0.215571	 0.19236	 -0.123216	 -0.188862	 0.168316	 -0.117172	 -0.16144	 0.144889	 -0.111283	 -0.133434	 0.122104	 -0.105556	 -0.104849	 0.1	 -0.1	 -0.075678	 0.290849	 0.290698	 0.29043	 0.290112	 0.289823	 0.289643	 0.289638	 0.289844	 0.29026	 0.290844	 0.291517	 0.292172	 0.292687	 0.292944	 0.292858	 0.292408	 0.291661	 0.291024	 0.291509	 0.293444	 0.297095	 0.302627	 0.310023	 0.319067	 0.329383	 0.340518	 0.352052	 0.363675	 0.37523	 0.386722	 0.398247	 0.409916	 0.421821	 0.434004	 0.446463	 0.459208	 0.472273	 0.485631	 0.499242	 0.513127	 
0.166667	 1.385	 -0.423	 -0.5	 1.34938	 -0.414045	 -0.500044	 1.31375	 -0.405091	 -0.500045	 1.27812	 -0.396136	 -0.500045	 1.2425	 -0.38718	 -0.500045	 1.20686	 -0.378223	 -0.500045	 1.17123	 -0.369266	 -0.500045	 1.13559	 -0.360309	 -0.500045	 1.09995	 -0.351351	 -0.500045	 1.06431	 -0.342392	 -0.500045	 1.02867	 -0.333432	 -0.500045	 0.993027	 -0.324473	 -0.500045	 0.957383	 -0.315513	 -0.500045	 0.921739	 -0.306554	 -0.500045	 0.886096	 -0.297594	 -0.500045	 0.850453	 -0.288635	 -0.500045	 0.814813	 -0.279677	 -0.500044	 0.779174	 -0.270719	 -0.500011	 0.743555	 -0.261765	 -0.49886	 0.70807	 -0.252846	 -0.495487	 0.67284	 -0.24399	 -0.489949	 0.637972	 -0.235226	 -0.482337	 0.603558	 -0.226575	 -0.472759	 0.569673	 -0.218058	 -0.461328	 0.536379	 -0.209689	 -0.448152	 0.503728	 -0.201482	 -0.433336	 0.47176	 -0.193446	 -0.416987	 0.440499	 -0.185589	 -0.399217	 0.409972	 -0.177915	 -0.380114	 0.380195	 -0.17043	 -0.359767	 0.351168	 -0.163134	 -0.338276	 0.322888	 -0.156026	 -0.315729	 0.295334	 -0.149099	 -0.292223	 0.268478	 -0.142349	 -0.26785	 0.242344	 -0.13578	 -0.242636	 0.216962	 -0.1294	 -0.216595	 0.192255	 -0.123189	 -0.18985	 0.16821	 -0.117145	 -0.16245	 0.14486	 -0.111276	 -0.134396	 0.122098	 -0.105554	 -0.10581	 0.1	 -0.1	 -0.0766524	 0.284931	 0.285594	 0.286859	 0.288606	 0.290678	 0.292899	 0.295094	 0.297106	 0.298811	 0.30012	 0.30098	 0.301364	 0.301268	 0.300703	 0.299702	 0.298331	 0.296702	 0.295132	 0.294651	 0.295614	 0.298206	 0.30252	 0.308517	 0.316016	 0.32472	 0.334278	 0.344356	 0.35472	 0.365269	 0.375998	 0.386968	 0.398253	 0.409893	 0.421921	 0.434371	 0.447209	 0.460369	 0.47383	 0.487542	 0.501473	 
0.2	 1.385	 -0.423	 -0.5	 1.34936	 -0.414041	 -0.500044	 1.31371	 -0.405081	 -0.500045	 1.27807	 -0.396122	 -0.500045	 1.24242	 -0.387162	 -0.500045	 1.20678	 -0.378201	 -0.500045	 1.17113	 -0.36924	 -0.500045	 1.13547	 -0.360279	 -0.500045	 1.09982	 -0.351317	 -0.500045	 1.06417	 -0.342355	 -0.500045	 1.02851	 -0.333393	 -0.500045	 0.992861	 -0.324431	 -0.500045	 0.957208	 -0.315469	 -0.500045	 0.921557	 -0.306508	 -0.500045	 0.885907	 -0.297547	 -0.500045	 0.850261	 -0.288587	 -0.500045	 0.814617	 -0.279627	 -0.500044	 0.778976	 -0.270669	 -0.500015	 0.743349	 -0.261713	 -0.499092	 0.70784	 -0.252788	 -0.495981	 0.672574	 -0.243923	 -0.490697	 0.637668	 -0.235149	 -0.483284	 0.603221	 -0.22649	 -0.473847	 0.569319	 -0.217969	 -0.46248	 0.536026	 -0.2096	 -0.449316	 0.503384	 -0.201395	 -0.434493	 0.47143	 -0.193363	 -0.418131	 0.44019	 -0.185511	 -0.400338	 0.409681	 -0.177842	 -0.381219	 0.37991	 -0.170359	 -0.360878	 0.350869	 -0.163059	 -0.33942	 0.322545	 -0.155939	 -0.316946	 0.294959	 -0.149005	 -0.293493	 0.268152	 -0.142267	 -0.269077	 0.242079	 -0.135713	 -0.243807	 0.216702	 -0.129334	 -0.217774	 0.192059	 -0.12314	 -0.190978	 0.168062	 -0.117108	 -0.163545	 0.144719	 -0.111241	 -0.135496	 0.122032	 -0.105538	 -0.106857	 0.1	 -0.1	 -0.0776588	 0.300353	 0.300822	 0.30171	 0.302919	 0.304321	 0.305768	 0.30711	 0.30821	 0.308955	 0.309264	 0.309088	 0.308409	 0.307235	 0.3056	 0.303567	 0.301226	 0.298708	 0.296279	 0.294927	 0.295038	 0.296783	 0.300242	 0.30538	 0.312043	 0.319964	 0.328838	 0.338384	 0.348389	 0.358727	 0.36935	 0.380259	 0.391491	 0.403115	 0.41515	 0.427556	 0.440324	 0.453422	 0.466803	 0.480458	 0.494381	 
0.233333	 1.385	 -0.423	 -0.5	 1.34936	 -0.414041	 -0.500044	 1.31372	 -0.405082	 -0.500045	 1.27808	 -0.396123	 -0.500045	 1.24243	 -0.387164	 -0.500045	 1.20679	 -0.378204	 -0.500045	 1.17114	 -0.369244	 -0.500045	 1.13549	 -0.360284	 -0.500045	 1.09984	 -0.351323	 -0.500045	 1.0642	 -0.342362	 -0.500045	 1.02854	 -0.333401	 -0.500045	 0.992894	 -0.324439	 -0.500045	 0.957243	 -0.315478	 -0.500045	 0.921592	 -0.306517	 -0.500045	 0.885942	 -0.297556	 -0.500045	 0.850292	 -0.288595	 -0.500045	 0.814644	 -0.279634	 -0.500044	 0.778996	 -0.270674	 -0.500019	 0.743355	 -0.261715	 -0.499285	 0.707818	 -0.252782	 -0.4964	 0.672504	 -0.243906	 -0.491365	 0.637531	 -0.235115	 -0.484216	 0.603016	 -0.226439	 -0.474983	 0.569043	 -0.2179	 -0.463788	 0.535687	 -0.209515	 -0.45075	 0.503001	 -0.201299	 -0.435991	 0.47102	 -0.19326	 -0.419648	 0.439763	 -0.185404	 -0.401856	 0.409231	 -0.177729	 -0.38275	 0.379419	 -0.170235	 -0.362448	 0.350351	 -0.162929	 -0.341009	 0.322069	 -0.15582	 -0.318458	 0.294551	 -0.148903	 -0.294902	 0.267754	 -0.142167	 -0.270458	 0.24171	 -0.13562	 -0.245143	 0.216377	 -0.129253	 -0.21905	 0.191727	 -0.123057	 -0.192251	 0.167811	 -0.117045	 -0.164732	 0.144558	 -0.1112	 -0.136594	 0.121972	 -0.105523	 -0.107863	 0.100001	 -0.1	 -0.0786078	 0.298747	 0.299098	 0.299766	 0.300687	 0.301774	 0.302931	 0.304059	 0.30507	 0.305893	 0.306481	 0.306812	 0.306884	 0.306717	 0.306344	 0.305811	 0.305173	 0.304498	 0.303921	 0.304281	 0.305882	 0.308783	 0.313009	 0.318506	 0.325142	 0.332753	 0.341154	 0.350159	 0.359613	 0.369404	 0.379486	 0.389882	 0.400615	 0.411667	 0.423052	 0.434801	 0.446912	 0.459425	 0.472364	 0.485726	 0.499508	 
